Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Select Investors,Select Investors 1,Select Investors 2,Select Investors 3,Select Investors 4,Number of Investors
Epic Games,$32B,10/26/2018,Other,Cary,United States,North America,1991,$7B,"Tencent Holdings, KKR, Smash Ventures",Tencent Holdings, KKR, Smash Ventures,,3
FTX,$32B,7/20/2021,Fintech,,Bahamas,North America,2018,$2B,"Sequoia Capital, Thoma Bravo, Softbank",Sequoia Capital, Thoma Bravo, Softbank,,3
Fanatics,$27B,6/6/2012,E-commerce & direct-to-consumer,Jacksonville,United States,North America,2002,$4B,"SoftBank Group, Andreessen Horowitz, Temasek Holdings",SoftBank Group, Andreessen Horowitz, Temasek Holdings,,3
Chime,$25B,3/5/2019,Fintech,San Francisco,United States,North America,2013,$2B,"Forerunner Ventures, Crosslink Capital, Homebrew",Forerunner Ventures, Crosslink Capital, Homebrew,,3
BYJU's,$22B,7/25/2017,Edtech,Bengaluru,India,Asia,2008,$4B,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India",Tencent Holdings, Lightspeed India Partners, Sequoia Capital India,,3
J&T Express,$20B,4/7/2021,"Supply chain, logistics, & delivery",Jakarta,Indonesia,Asia,2015,$5B,"Hillhouse Capital Management, Boyu Capital, Sequoia Capital China",Hillhouse Capital Management, Boyu Capital, Sequoia Capital China,,3
Xiaohongshu,$20B,3/31/2016,E-commerce & direct-to-consumer,Shanghai,China,Asia,2013,$918M,"GGV Capital, ZhenFund, Tencent",GGV Capital, ZhenFund, Tencent,,3
Miro,$18B,1/5/2022,Internet software & services,San Francisco,United States,North America,2011,$476M,"Accel, AltaIR Capital, Technology Crossover Ventures",Accel, AltaIR Capital, Technology Crossover Ventures,,3
Yuanfudao,$17B,5/31/2017,Edtech,Beijing,China,Asia,2012,$4B,"Tencent Holdings, Warbug Pincus, IDG Capital",Tencent Holdings, Warbug Pincus, IDG Capital,,3
Rapyd,$15B,12/3/2019,Fintech,London,United Kingdom,Europe,2016,$770M,"Target Global, General Catalyst, Durable Capital Partners",Target Global, General Catalyst, Durable Capital Partners,,3
Discord,$15B,4/20/2018,Internet software & services,San Francisco,United States,North America,2012,$979M,"Benchmark, Greylock Partners, Tencent Holdings",Benchmark, Greylock Partners, Tencent Holdings,,3
Genki Forest,$15B,3/1/2020,Consumer & retail,Beijing,China,Asia,2016,$721M,"Sequoia Capital China, Longfor Capitalm, Gaorong Capital",Sequoia Capital China, Longfor Capitalm, Gaorong Capital,,3
goPuff,$15B,10/8/2020,E-commerce & direct-to-consumer,Philadelphia,United States,North America,2013,$3B,"Accel, Softbank Group, Anthos Capital",Accel, Softbank Group, Anthos Capital,,3
Blockchain.com,$14B,2/17/2021,Fintech,London,United Kingdom,Europe,2011,$490M,"Lightspeed Venture Partners, Google Ventures, Lakestar",Lightspeed Venture Partners, Google Ventures, Lakestar,,3
Plaid,$13B,12/11/2018,Fintech,San Francisco,United States,North America,2012,$734M,"New Enterprise Associates, Spar Capital, Index Ventures",New Enterprise Associates, Spar Capital, Index Ventures,,3
Devoted Health,$13B,10/16/2018,Health,Waltham,United States,North America,2017,$2B,"Andreessen Horowitz, F-Prime Capital, Venrock",Andreessen Horowitz, F-Prime Capital, Venrock,,3
OpenSea,$13B,7/20/2021,E-commerce & direct-to-consumer,New York,United States,North America,2017,$427M,"Andreessen Horowitz, Thirty Five Ventures, Sound Ventures",Andreessen Horowitz, Thirty Five Ventures, Sound Ventures,,3
Grammarly,$13B,10/10/2019,Internet software & services,San Francisco,United States,North America,2009,$400M,"General Catalyst, Institutional Venture Partners, Breyer Capital",General Catalyst, Institutional Venture Partners, Breyer Capital,,3
Argo AI,$12B,7/12/2019,Artificial intelligence,Pittsburgh,United States,North America,2016,$4B,"Volkswagen Group, Ford Autonomous Vehicles",Volkswagen Group, Ford Autonomous Vehicles,,,2
Northvolt,$12B,6/12/2019,Other,Stockholm,Sweden,Europe,2016,$4B,"Vattenfall, Volkswagen Group, Goldman Sachs",Vattenfall, Volkswagen Group, Goldman Sachs,,3
Faire,$12B,10/30/2019,Artificial intelligence,San Francisco,United States,North America,2017,$1B,"Khosla Ventures, Forerunner Ventures, Sequoia Capital",Khosla Ventures, Forerunner Ventures, Sequoia Capital,,3
Airtable,$12B,11/15/2018,Internet software & services,San Francisco,United States,North America,2013,$1B,"Caffeinated Capital, CRV, Founder Collective",Caffeinated Capital, CRV, Founder Collective,,3
Brex,$12B,10/5/2018,Fintech,San Francisco,United States,North America,2017,$1B,"DST Global, Ribbit Capital, Greenoaks Capital Management",DST Global, Ribbit Capital, Greenoaks Capital Management,,3
Getir,$12B,3/26/2021,E-commerce & direct-to-consumer,Istanbul,Turkey,Europe,2015,$2B,"Tiger Global Management, Sequoia Capital, Revo Capital",Tiger Global Management, Sequoia Capital, Revo Capital,,3
Biosplice Therapeutics,$12B,8/6/2018,Health,San Diego,United States,North America,2008,$799M,"Vickers Venture Partners, IKEA GreenTech",Vickers Venture Partners, IKEA GreenTech,,,2
Bitmain,$12B,7/6/2018,Hardware,Beijing,China,Asia,2015,$765M,"Coatue Management, Sequoia Capital China, IDG Capital",Coatue Management, Sequoia Capital China, IDG Capital,,3
GoodLeap,$12B,10/13/2021,Internet software & services,Roseville,United States,North America,2003,$800M,"New Enterprise Associates, BDT Capital Partners, Davidson Kempner Capital Management",New Enterprise Associates, BDT Capital Partners, Davidson Kempner Capital Management,,3
Xingsheng Selected,$12B,7/22/2020,E-commerce & direct-to-consumer,Changsha,China,Asia,2009,$5B,"KKR, Tencent Holdings, Sequoia Capital China",KKR, Tencent Holdings, Sequoia Capital China,,3
ZongMu Technology,$11B,6/3/2021,Auto & transportation,Shanghai,China,Asia,2013,$376M,"LTW Capital, Legend Capital, Qualcomm Ventures",LTW Capital, Legend Capital, Qualcomm Ventures,,3
Bolt,$11B,5/29/2018,Auto & transportation,Tallinn,Estonia,Europe,2013,$1B,"Didi Chuxing, Diamler, TMT Investments",Didi Chuxing, Diamler, TMT Investments,,3
Swiggy,$11B,6/21/2018,"Supply chain, logistics, & delivery",Bengaluru,India,Asia,2014,$5B,"Accel India, SAIF Partners, Norwest Venture Partners",Accel India, SAIF Partners, Norwest Venture Partners,,3
Weilong Foods,$11B,5/8/2021,Consumer & retail,Luohe,China,Asia,1999,$558M,"Tencent Holdings, Hillhouse Capital Management, Yunfeng Capital",Tencent Holdings, Hillhouse Capital Management, Yunfeng Capital,,3
Global Switch,$11B,12/22/2016,Hardware,London,United Kingdom,Europe,1998,$5B,"Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group",Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group,,3
Bolt,$11B,10/8/2021,Fintech,San Francisco,United States,North America,2014,$1B,"Activant Capital, Tribe Capital, General Atlantic",Activant Capital, Tribe Capital, General Atlantic,,3
Celonis,$11B,6/26/2018,Data management & analytics,Munich,Germany,Europe,2011,$1B,"Accel, 83North",Accel, 83North,,,2
Zuoyebang,$10B,7/18/2018,Edtech,Beijing,China,Asia,2014,$3B,"Sequoia Capital China, Xiang He Capital, GGV Capital",Sequoia Capital China, Xiang He Capital, GGV Capital,,3
Ripple,$10B,12/20/2019,Fintech,San Francisco,United States,North America,2012,$294M,"IDG Capital, Venture51, Lightspeed Venture Partners",IDG Capital, Venture51, Lightspeed Venture Partners,,3
OYO Rooms,$10B,9/25/2018,Travel,Gurugram,India,Asia,2012,$3B,"SoftBank Group, Sequoia Capital India,Lightspeed India Partners",SoftBank Group, Sequoia Capital India,Lightspeed India Partners,,3
OutSystems,$10B,6/5/2018,Internet software & services,Boston,United States,North America,2001,$572M,"KKR, ES Ventures, North Bridge Growth Equity",KKR, ES Ventures, North Bridge Growth Equity,,3
ServiceTitan,$10B,11/14/2018,Internet software & services,Glendale,United States,North America,2012,$1B,"Bessemer Venture Partners, ICONIQ Capital, Battery Ventures",Bessemer Venture Partners, ICONIQ Capital, Battery Ventures,,3
Alchemy,$10B,10/28/2021,Fintech,San Francisco,United States,North America,2017,$564M,"DFJ Growth Fund, Coatue Management, Addition",DFJ Growth Fund, Coatue Management, Addition,,3
Chehaoduo,$10B,3/12/2016,E-commerce & direct-to-consumer,Beijing,China,Asia,2015,$4B,"Sequoia Capital China, GX Capital",Sequoia Capital China, GX Capital,,,2
Digital Currency Group,$10B,11/1/2021,Fintech,New York,United States,North America,2015,$1B,"Ribbit Capital, capitalG, Softbank Group",Ribbit Capital, capitalG, Softbank Group,,3
Figma,$10B,4/30/2020,Internet software & services,San Francisco,United States,North America,2012,$333M,"Index Ventures, Greylock Partners, Kleiner Perkins Caufield & Byers",Index Ventures, Greylock Partners, Kleiner Perkins Caufield & Byers,,3
Gusto,$10B,12/18/2015,Fintech,San Francisco,United States,North America,2011,$691M,"General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers",General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers,,3
Lalamove,$10B,2/21/2019,"Supply chain, logistics, & delivery",Cheung Sha Wan,Hong Kong,Asia,2013,$2B,"MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital",MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital,,3
Notion Labs,$10B,4/1/2020,Internet software & services,San Francisco,United States,North America,2016,$343M,"Index Ventures, Draft Ventures, Felicis Ventures",Index Ventures, Draft Ventures, Felicis Ventures,,3
reddit,$10B,7/31/2017,Internet software & services,San Francisco,United States,North America,2005,$1B,"Y Combinator, Sequoia Capital, Coatue Management",Y Combinator, Sequoia Capital, Coatue Management,,3
Talkdesk,$10B,10/3/2018,Internet software & services,San Francisco,United States,North America,2011,$497M,"DJF, Salesforce Ventures, Storm Ventures",DJF, Salesforce Ventures, Storm Ventures,,3
Thrasio,$10B,7/15/2020,Other,Walpole,United States,North America,2018,$2B,"Upper90, RiverPark Ventures, Advent International",Upper90, RiverPark Ventures, Advent International,,3
Dunamu,$9B,7/22/2021,Fintech,Seoul,South Korea,Asia,2012,$71M,"Qualcomm Ventures, Woori Investment, Hanwha Investment & Securities",Qualcomm Ventures, Woori Investment, Hanwha Investment & Securities,,3
Yanolja,$9B,6/10/2019,Travel,Seoul,South Korea,Asia,2005,$2B,"SBI Investment Korea, Partners Investment, GIC",SBI Investment Korea, Partners Investment, GIC,,3
Pony.ai,$9B,7/11/2018,Artificial intelligence,Fremont,United States,North America,2016,$1B,"Sequoia Capital China, IDG Capital, DCM Ventures",Sequoia Capital China, IDG Capital, DCM Ventures,,3
Nuro,$9B,2/11/2019,Auto & transportation,Mountain View,United States,North America,2016,$2B,"SoftBank Group, Greylock Partners, Gaorong Capital",SoftBank Group, Greylock Partners, Gaorong Capital,,3
Snyk,$9B,1/21/2020,Cybersecurity,Boston,United States,North America,2015,$1B,"BOLDstart Ventures, Google Ventures, Accel",BOLDstart Ventures, Google Ventures, Accel,,3
Kavak,$9B,10/1/2020,E-commerce & direct-to-consumer,Lerma de Villada,Mexico,North America,2016,$2B,"DST Global, SoftBank Group, Mountain Nazca",DST Global, SoftBank Group, Mountain Nazca,,3
N26,$9B,1/10/2019,Fintech,Berlin,Germany,Europe,2013,$2B,"Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures",Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures,,3
Klaviyo,$9B,11/17/2020,Internet software & services,Boston,United States,North America,2012,$679M,"Summit Partners, Accel, Astral Capital",Summit Partners, Accel, Astral Capital,,3
Niantic,$9B,11/24/2017,Mobile & telecommunications,San Francisco,United States,North America,2015,$770M,"Nintendo, Google, Pokemon Company International, Spark Capital",Nintendo, Google, Pokemon Company International, Spark Capital,4
Tanium,$9B,3/31/2015,Cybersecurity,Kirkland,United States,North America,2007,$775M,"Andreessen Horowitz, Nor-Cal Invest, TPG Growth",Andreessen Horowitz, Nor-Cal Invest, TPG Growth,,3
Dream11,$8B,4/9/2019,Internet software & services,Mumbai,India,Asia,2007,$2B,"Kaalari Capital, Tencent Holdings, Steadview Capital",Kaalari Capital, Tencent Holdings, Steadview Capital,,3
DJI Innovations,$8B,1/23/2015,Hardware,Shenzhen,China,Asia,2006,$105M,"Accel Partners, Sequoia Capital",Accel Partners, Sequoia Capital,,,2
Netskope,$8B,11/13/2018,Cybersecurity,Santa Clara,United States,North America,2012,$1B,"Lightspeed Venture Partners, Social Capital, Accel",Lightspeed Venture Partners, Social Capital, Accel,,3
Razorpay,$8B,10/11/2020,Fintech,Bengaluru,India,Asia,2013,$742M,"Sequoia Capital India, Tiger Global Management, Matrix Partners India",Sequoia Capital India, Tiger Global Management, Matrix Partners India,,3
Dapper Labs,$8B,3/30/2021,Fintech,Vancouver,Canada,North America,2018,$607M,"Union Square Ventures, Venrock, Andreessen Horowitz",Union Square Ventures, Venrock, Andreessen Horowitz,,3
Lacework,$8B,1/7/2021,Cybersecurity,San Jose,United States,North America,2015,$2B,"Sutter Hill Ventures, Liberty Global Ventures, Coatue Management",Sutter Hill Ventures, Liberty Global Ventures, Coatue Management,,3
Tipalti,$8B,10/6/2020,Fintech,San Mateo,United States,North America,2010,$549M,"01 Advisors, Zeev Ventures, Group 11",01 Advisors, Zeev Ventures, Group 11,,3
Hopin,$8B,11/10/2020,Internet software & services,London,United Kingdom,Europe,2019,$1B,"Accel, Northzone Ventures, Institutional Venture Partners",Accel, Northzone Ventures, Institutional Venture Partners,,3
Caris Life Sciences,$8B,5/12/2021,Health,Irving,United States,North America,1996,$1B,"Sixth Street Partners, OrbiMed Advisors, Highland Capital Management",Sixth Street Partners, OrbiMed Advisors, Highland Capital Management,,3
Ramp,$8B,3/29/2021,Fintech,New York,United States,North America,2019,$660M,"D1 Capital Partners, Stripe, Coatue Management",D1 Capital Partners, Stripe, Coatue Management,,3
Tempus,$8B,3/21/2018,Health,Chicago,United States,North America,2015,$820M,"New Enterprise Associates, T. Rowe Associates, Lightbank",New Enterprise Associates, T. Rowe Associates, Lightbank,,3
Fireblocks,$8B,7/27/2021,Fintech,New York,United States,North America,2018,$1B,"Tenaya Capital, Coatue Management, Stripes Group",Tenaya Capital, Coatue Management, Stripes Group,,3
Flexport,$8B,4/30/2018,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2013,$2B,"Bloomberg Beta, Founders Fund, First Round Capital",Bloomberg Beta, Founders Fund, First Round Capital,,3
National Stock Exchange of India,$7B,7/1/2020,Fintech,Mumbai,India,Asia,1998,$297M,"TA Associates, SoftBank Group, GS Growth",TA Associates, SoftBank Group, GS Growth,,3
Meicai,$7B,6/22/2016,Mobile & telecommunications,Beijing,China,Asia,2014,$1B,"Tiger Global Management, Blue Lake Capital, ZhenFund",Tiger Global Management, Blue Lake Capital, ZhenFund,,3
Impossible Foods,$7B,5/13/2019,Consumer & retail,Redwood City,United States,North America,2011,$2B,"Khosla Ventures, Horizons Ventures, Temasek Holdings",Khosla Ventures, Horizons Ventures, Temasek Holdings,,3
CRED,$7B,4/6/2021,Fintech,Bengaluru,India,Asia,2018,$922M,"Tiger Global Management, DST Global, Sequoia Capital India",Tiger Global Management, DST Global, Sequoia Capital India,,3
Attentive,$7B,9/23/2020,Mobile & telecommunications,Hoboken,United States,North America,2016,$863M,"NextView Ventures, Eniac Ventures, Sequoia Capital",NextView Ventures, Eniac Ventures, Sequoia Capital,,3
Ola Cabs,$7B,10/27/2014,Auto & transportation,Bengaluru,India,Asia,2010,$4B,"Accel Partners, SoftBank Group, Sequoia Capital",Accel Partners, SoftBank Group, Sequoia Capital,,3
Rippling,$7B,8/4/2020,Internet software & services,San Francisco,United States,North America,2017,$447M,"Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers",Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers,,3
Carta,$7B,5/6/2019,Fintech,San Francisco,United States,North America,2012,$1B,"Menlo Ventures, Spark Capital, Union Square Ventures",Menlo Ventures, Spark Capital, Union Square Ventures,,3
Toss,$7B,12/9/2018,Fintech,Seoul,South Korea,Asia,2013,$844M,"Bessemer Venture Partners, Qualcomm Ventures, Kleiner Perkins Caufield & Byers",Bessemer Venture Partners, Qualcomm Ventures, Kleiner Perkins Caufield & Byers,,3
Ziroom,$7B,1/17/2018,E-commerce & direct-to-consumer,Beijing,China,Asia,2011,$2B,"Sequoia Capital China, Warburg Pincus, General Catalyst",Sequoia Capital China, Warburg Pincus, General Catalyst,,3
Scale AI,$7B,8/5/2019,Artificial intelligence,San Francisco,United States,North America,2018,$603M,"Accel, Y Combinator, Index Ventures",Accel, Y Combinator, Index Ventures,,3
Gong,$7B,8/12/2020,Artificial intelligence,Palo Alto,United States,North America,2015,$583M,"Norwest Venture Partners, Next World Capital, Wing Venture Capital",Norwest Venture Partners, Next World Capital, Wing Venture Capital,,3
TripActions,$7B,11/8/2018,Travel,Palo Alto,United States,North America,2015,$912M,"Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures",Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures,,3
1Password,$7B,7/8/2021,Cybersecurity,Toronto,Canada,North America,2005,$920M,"Slack Fund, Accel, Skip Capital",Slack Fund, Accel, Skip Capital,,3
Automation Anywhere,$7B,7/2/2018,Artificial intelligence,San Jose,United States,North America,2003,$849M,"General Atlantic, Goldman Sachs, New Enterprise Associates",General Atlantic, Goldman Sachs, New Enterprise Associates,,3
Gemini,$7B,11/19/2021,Fintech,New York,United States,North America,2015,$424M,"Morgan Creek Digital, Marcy Venture Partners, 10T Fund",Morgan Creek Digital, Marcy Venture Partners, 10T Fund,,3
ConsenSys,$7B,11/17/2021,Fintech,New York,United States,North America,2014,$660M,"Third Point, Electric Capital, Coinbase Ventures",Third Point, Electric Capital, Coinbase Ventures,,3
Ro,$7B,7/27/2020,Health,New York,United States,North America,2017,$1B,"Initialized Capital, General Catalyst, SignalFire",Initialized Capital, General Catalyst, SignalFire,,3
Black Unicorn Factory,$6B,5/20/2021,Other,Los Angeles,United States,North America,2020,$645M,Barter Ventures,Barter Ventures,,,,1
Easyhome,$6B,2/12/2018,Consumer & retail,Beijing,China,Asia,1999,$2B,"Alibaba Group, Boyu Capital, Borui Capital",Alibaba Group, Boyu Capital, Borui Capital,,3
WeDoctor,$6B,9/22/2015,Health,Hangzhou,China,Asia,2010,$1B,"Tencent, Morningside Group",Tencent, Morningside Group,,,2
SVOLT,$6B,6/8/2020,Auto & transportation,Changzhou,China,Asia,2018,$3B,"IDG Capital, Bank Of China Group Investment,, SDIC CMC Investment Management",IDG Capital, Bank Of China Group Investment,, SDIC CMC Investment Management,3
Airwallex,$6B,3/25/2019,Fintech,Melbourne,Australia,Oceania,2015,$802M,"DST Global, Sequoia Capital China, Tencent Holdings",DST Global, Sequoia Capital China, Tencent Holdings,,3
Deel,$6B,4/21/2021,Fintech,San Francisco,United States,North America,2018,$629M,"Andreessen Horowitz, Spark Capital, Y Combinator",Andreessen Horowitz, Spark Capital, Y Combinator,,3
Mambu,$6B,1/6/2021,Fintech,Amsterdam,Netherlands,Europe,2011,$448M,"Runa Capital, Acton Capital Partners, Point Nine Capital",Runa Capital, Acton Capital Partners, Point Nine Capital,,3
Mollie,$6B,9/8/2020,Fintech,Amsterdam,Netherlands,Europe,2004,$928M,Technology Crossover Ventures,Technology Crossover Ventures,,,,1
Doctolib,$6B,3/19/2019,Health,Paris,France,Europe,2013,$815M,"BPI France, Kerala Ventures, Accel",BPI France, Kerala Ventures, Accel,,3
FiveTran,$6B,6/30/2020,Data management & analytics,Oakland,United States,North America,2012,$728M,"Matrix Partners, Andreessen Horowitz, General Catalyst",Matrix Partners, Andreessen Horowitz, General Catalyst,,3
Postman,$6B,6/11/2020,Internet software & services,San Francisco,United States,North America,2014,$433M,"Nexus Venture Partners, CRV, Insight Partners",Nexus Venture Partners, CRV, Insight Partners,,3
Back Market,$6B,5/18/2021,E-commerce & direct-to-consumer,Paris,France,Europe,2014,$1B,"Aglae Ventures, Eurazeo, Daphni",Aglae Ventures, Eurazeo, Daphni,,3
Cityblock Health,$6B,12/10/2020,Health,Brooklyn,United States,North America,2017,$891M,"Thrive Capital, Maverick Ventures, Redpoint Ventures",Thrive Capital, Maverick Ventures, Redpoint Ventures,,3
DataRobot,$6B,7/29/2019,Artificial intelligence,Boston,United States,North America,2012,$1B,"New Enterprise Associates, Accomplice, IA Ventures",New Enterprise Associates, Accomplice, IA Ventures,,3
Personio,$6B,1/19/2021,Internet software & services,Munich,Germany,Europe,2015,$524M,"Global Founders Capital, Nortzone Ventures, Picus Capital",Global Founders Capital, Nortzone Ventures, Picus Capital,,3
RELEX Solutions,$6B,2/17/2022,"Supply chain, logistics, & delivery",Helsinki,Finland,Europe,2005,$803M,"Blackstone, Technology Crossover Ventures, Summit Partners",Blackstone, Technology Crossover Ventures, Summit Partners,,3
Vice Media,$6B,4/2/2011,Internet software & services,Brooklyn,United States,North America,1994,$1B,"Technology Crossover Ventures, A&E Television Networks",Technology Crossover Ventures, A&E Television Networks,,,2
Workato,$6B,1/12/2021,Internet software & services,Mountain View,United States,North America,2013,$415M,"Battery Ventures, Storm Ventures, Redpoint Ventures",Battery Ventures, Storm Ventures, Redpoint Ventures,,3
Upgrade,$6B,2/12/2018,Fintech,San Francisco,United States,North America,2016,$587M,"Union Square Ventures, Ribbit Capital, VY Capital",Union Square Ventures, Ribbit Capital, VY Capital,,3
Lianjia,$6B,4/7/2016,E-commerce & direct-to-consumer,Beijing,China,Asia,2001,$1B,"Tencent, Baidu, Huasheng Capital",Tencent, Baidu, Huasheng Capital,,3
Hinge Health,$6B,1/6/2021,Health,San Francisco,United States,North America,2015,$826M,"Atomico, Insight Partners, Coatue Management",Atomico, Insight Partners, Coatue Management,,3
Lyra Health,$6B,8/25/2020,Health,Burlingame,United States,North America,2015,$910M,"Greylock Partners, Venrock, Providence Ventures",Greylock Partners, Venrock, Providence Ventures,,3
Benchling,$6B,4/14/2021,Internet software & services,San Francisco,United States,North America,2012,$412M,"Thrive Capital, Benchmark, MenloVentures",Thrive Capital, Benchmark, MenloVentures,,3
Better.com,$6B,11/10/2020,Fintech,New York,United States,North America,2018,$405M,"Pine Brook, American Express Ventures, Kleiner Perkins Caufield & Byers",Pine Brook, American Express Ventures, Kleiner Perkins Caufield & Byers,,3
iCapital Network,$6B,7/27/2021,Fintech,New York,United States,North America,2013,$729M,"BlackRock, Blackstone, UBS",BlackRock, Blackstone, UBS,,3
Wiz,$6B,3/17/2021,Cybersecurity,Tel Aviv,Israel,Asia,2020,$600M,"Insight Partners, Sequoia Capital, Index Ventures",Insight Partners, Sequoia Capital, Index Ventures,,3
DailyHunt,$5B,12/22/2020,Internet software & services,Bengaluru,India,Asia,2007,$869M,"Falcon Edge Capital, Omidyar Network, Sequoia Capital India",Falcon Edge Capital, Omidyar Network, Sequoia Capital India,,3
Howden Group Holdings,$5B,9/29/2020,Other,London,United Kingdom,Europe,1994,$187M,"General Atlantic, 3i Group, Huagai Capital",General Atlantic, 3i Group, Huagai Capital,,3
Meesho,$5B,4/5/2021,Internet software & services,Bengaluru,India,Asia,2015,$1B,"Venture Highway, Sequoia Capital India, Prosus Ventures",Venture Highway, Sequoia Capital India, Prosus Ventures,,3
Meizu Technology,$5B,7/23/2014,Hardware,Zhuhai,China,Asia,2003,$943M,"Telling Telecommunication Holding Co., Alibaba Group",Telling Telecommunication Holding Co., Alibaba Group,,,2
CloudWalk Technology,$5B,10/8/2018,Artificial intelligence,Guangzhou,China,Asia,2015,$514M,"Oriza Holdings, Guangdong Technology Financial Group",Oriza Holdings, Guangdong Technology Financial Group,,,2
Royole Corporation,$5B,8/18/2015,Hardware,Shenzhen,China,Asia,2012,$492M,"Warmsun Holding, IDG Capital Partners",Warmsun Holding, IDG Capital Partners,,,2
Monzo,$5B,10/31/2018,Fintech,London,United Kingdom,Europe,2015,$1B,"Passion Capital, Thrive Capital, Orange Digital Ventures",Passion Capital, Thrive Capital, Orange Digital Ventures,,3
Socure,$5B,3/16/2021,Cybersecurity,New York,United States,North America,2012,$644M,"Two Sigma Ventures, Flint Capital, Commerce Ventures",Two Sigma Ventures, Flint Capital, Commerce Ventures,,3
VIPKid,$5B,8/4/2016,Edtech,Beijing,China,Asia,2013,$1B,"Sequoia Capital China, Tencent Holdings, Sinovation Ventures",Sequoia Capital China, Tencent Holdings, Sinovation Ventures,,3
Vinted,$5B,11/27/2019,E-commerce & direct-to-consumer,Vilnius,Lithuania,Europe,2008,$562M,"Accel, Insight Partners, Burda Principal Investments",Accel, Insight Partners, Burda Principal Investments,,3
Lendable,$5B,3/31/2021,Fintech,London,United Kingdom,Europe,2014,$286M,"Ontario Teachers' Pension Plan, Goldman Sachs",Ontario Teachers' Pension Plan, Goldman Sachs,,,2
UBTECH Robotics,$5B,7/25/2016,Hardware,Shenzhen,China,Asia,2012,$943M,"CDH Investments, Goldstone Investments, Qiming Venture Partners",CDH Investments, Goldstone Investments, Qiming Venture Partners,,3
Anduril,$5B,9/11/2019,Artificial intelligence,Irvine,United States,North America,2017,$691M,"Andreessen Horowitz, Founders Fund, Revolution Ventures",Andreessen Horowitz, Founders Fund, Revolution Ventures,,3
Checkr,$5B,9/19/2019,Internet software & services,San Francisco,United States,North America,2014,$559M,"Y Combinator, Accel, T. Rowe Price",Y Combinator, Accel, T. Rowe Price,,3
Color,$5B,1/4/2021,Health,Burlingame,United States,North America,2013,$497M,"General Catalyst, Viking Global Investors, T. Rowe Price",General Catalyst, Viking Global Investors, T. Rowe Price,,3
